unique_id,usage_count,regulation,days,hours,hrs_begin,hrs_end,regdetails,rpparea1,exceptions,from_time,to_time,hrlimit,golden_action,golden_summary,golden_severity,golden_days,golden_hours,golden_time_limit_minutes,golden_exceptions,golden_details,notes
29d3c09b8e6f3ee13157efe34b6f9ae5,6,No oversized vehicles,M-Su,2400-600,2400,600,Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet,,Yes. Typical passenger vehicles are exempt.,12am,6am,,,,,,,,,,
c094525a9651a696c95512f4e34da1d0,6,Time limited,M-Sa,800-2200,800,2200,"MON - SAT: 8AM - 3PM, 7PM - 10PM",C,Yes. RPP holders are exempt from time limits.,8am,10pm,2,,,,,,,,,
bdc609e7f67e9186c3b8602a41b876eb,6,Time limited,M-F,800-2100,800,2100,,I,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
7e3b49f53f6ce48d4120d8d03ea694df,5,Time limited,M-Sa,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,4,,,,,,,,,
39fddb6e806ba975ad0f5e392b6ccdb4,5,Time limited,M-F,800-1600,800,1600,,H,Yes. RPP holders are exempt from time limits.,8am,4pm,2,,,,,,,,,
ec5d8be6ec1ef6260824d11df06f6de9,5,Time limited,M-Sa,800-2100,800,2100,,A,Yes. RPP holders are exempt from time limits.,8am,9pm,1,,,,,,,,,
21c780778409e0aa5d33ca03c3b4788d,5,Time limited,M-F,700-1800,700,1800,,D,Yes. RPP holders are exempt from time limits.,7am,6pm,1,,,,,,,,,
f0a9804c0b24cf8057102f5535f58e88,5,No oversized vehicles,M-Su,2400-600,2400,600,Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet,,Yes. Typical passenger vehicles are exempt.,,,0,,,,,,,,,
f132da7d614969a424fc4af3717e9733,5,Limited No Parking,M-Su,2400-600,2400,600,,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
6d9a46b4573aac13fe5ba64d90f10cf4,5,Time limited,,700-1200,700,1200,Streetview verified - June 2015,,None. Regulation applies to all vehicles.,7am,12pm,2,,,,,,,,,
da61ed1fc175e59b5ac5e99b0320fe09,5,Time limited,M-F,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,2,,,,,,,,,
15fd1c7cd0ea86926a05df8962578312,4,Time limited,M-Sa,800-2100,800,2100,,K,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
fde378c092ed9e6e305bf8bdf7e8a7fd,4,No oversized vehicles,M-Su,2400-600,2400,600,Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet,,,,,,,,,,,,,,
6a87463ddb59ce1be2729b57db33d514,4,No parking any time,M-Su,,0,0,,,,,,0,,,,,,,,,
b334544742e66de5facd7dc21e364b4e,4,Time limited,M-F,900-1800,900,1800,,,None. Regulation applies to all vehicles.,9am,6pm,4,,,,,,,,,
49d6488443f473f8b5fe07f9773fde28,4,Time limited,M-F,800-1800,800,1800,,N,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
a86c8fb3214e0d1f80fd6b8d936810d2,4,Time limited,M-F,900-1700,900,1700,,D,Yes. RPP holders are exempt from time limits.,9am,5pm,2,,,,,,,,,
cdf7b8169e78b4eec90b9f9e812f5f42,4,Time limited,M-F,800-1800,800,1800,,I,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
c99709697fb537d2e2b628432ec1f20f,4,Time limited,M-Sa,800-2100,800,2100,,S,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
0d7a605fb44eaf8b2d5d128ef16bb851,4,Time limited,M-Sa,800-1600,800,1600,,C,Yes. RPP holders are exempt from time limits.,8am,4pm,2,,,,,,,,,
0da6ecafc88a5b895160d0b003761212,4,Government permit,,0-0,0,0,,,,,,,,,,,,,,,
bf29b61f2fa5840782cfb95b3d92d6e8,4,Time limited,M-F,700-2030,700,2030,test_buffer,D,Yes. RPP holders are exempt from time limits.,7am,830pm,1,,,,,,,,,
c8c7e1ba05cc0be5c2b449ede5afe1bc,4,Time limited,M-Sa,900-2000,900,2000,,I,Yes. RPP holders are exempt from time limits.,9am,8pm,2,,,,,,,,,
49b301a0b876f8ecfdb99215abc86b50,3,Time limited,M-F,900-1800,900,1800,,F,Yes. RPP holders are exempt from time limits.,9am,6pm,4,,,,,,,,,
910fdeddd389f09d23d7eee6645d296e,3,Time limited,M-Su,800-2100,800,2100,,G,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
caa6b338739ac252daba9e84a3abba77,3,No parking any time,,,,,Streetview enabled November 2016,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
1a9b45fa6c78c0863dc6f6f44efaf456,3,Time limited,M-Sa,800 - 1800,800,1800,"MM. ESTABLISH – 4-HOUR TIME LIMIT, 8 AM TO 6 PM, EXCEPT SUNDAYS",,None. Regulation applies to all vehicles.,8am,6pm,4,,,,,,,,,
f42555ae2e8c4f812cdd65f01bda56d4,3,Time limited,M-Sa,800-1800,800,1800,"MM. ESTABLISH – 4-HOUR TIME LIMIT, 8 AM TO 6 PM, EXCEPT SUNDAYS",,None. Regulation applies to all vehicles.,8am,6pm,0,,,,,,,,,
e4a911092f93be82a9f899cafc8b9d9f,3,Time limited,,700-1800,700,1800,Streetview verified - July 2015,,None. Regulation applies to all vehicles.,7am,6pm,1,,,,,,,,,
f09c6267f7fac33c232599659bbbdf22,3,Time limited,M-F,800-1800,800,1800,,C,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
3d83697e677bd1d8d98f8f80d25aa408,3,Time limited,M-F,800-1800,800,1800,,P,Yes. RPP holders are exempt from time limits.,8am,6pm,4,,,,,,,,,
75c82430084c29fe258f18b5b72a0ecf,3,Time limited,M-F,900-2100,900,2100,,S,Yes. RPP holders are exempt from time limits.,9am,9pm,2,,,,,,,,,
8d9c1b56d75938609a87d959fcd4095d,3,Time limited,M-Sa,800-1800,800,1800,,,None. Regulation applies to all vehicles.,8am,6pm,4,,,,,,,,,
19cf6fe26b8457d42a182add969b2af4,3,Time limited,M-Sa,900-1800,900,1800,,,None. Regulation applies to all vehicles.,9am,6pm,2,,,,,,,,,
494f52124cbbb28ac6e847d16c5e58bf,3,Time limited,M-F,700-1800,700,1800,08-055,,None. Regulation applies to all vehicles.,7am,6pm,4,,,,,,,,,
2763d414c1a84845fffb4e401503f7a4,3,Time Limited,M-Sa,700-1800,700,1800,,,None. This regulation applies to all vehicles.,700,1800,4,,,,,,,,,
